usertoken,total_incentives,paid,mturker
3ndBz7Qo,0.9,Yes,master
AWr1hgkv,1.4,Yes,master
bD48Dkqx,1.8,Yes,master
CdUu1H6o,2.6,Yes,master
eQFXhCnI,0.95,Yes,master
HnGQuT00,1.1,Yes,master
Ks0A1NpT,1.45,Yes,master
M5LqR4zT,1.8,Yes,master
zPh3til0,0.9,Yes,master
0kdSrEo1,1.85,Yes,master
9WnJN1l8,1.7,Yes,master
benynrvy,1.45,Yes,master
E59UVtDr,1.7,Yes,master
ebn3H4dp,1.7,Yes,master
Ezv2ERqp,0.6,Yes,master
F5VIGNAk,1.7,Yes,master
iqmer3KI,2.3,Yes,master
jRfV99uU,1,Yes,master
JsPdjZKq,1,Yes,master
kLGIQdrz,1.25,Yes,master
kNKuLFG1,0.65,Yes,master
M45OaFvP,1.2,Yes,master
NtGf92sF,0.95,Yes,master
qjKh7UVK,0.95,Yes,master
s4Q3qpf8,1.2,Yes,master
T7HR6iyi,0.8,Yes,master
v2e8aGQ4,1.3,Yes,master
vfzDKPXv,1.05,Yes,master
wcNpYsey,0.65,Yes,master
ybFQHjKq,0.7,Yes,master
YiuoCenX,1.4,Yes,master
ZAoHkw0a,2.4,Yes,master
zmUvANDx,1.7,Yes,master
140n4mbs,1.2,Yes,master
39ZWzf76,0.8,Yes,master
AR0XBZIP,0.9,Yes,master
DBQIKx8Z,1.35,Yes,master
f5LKgqpQ,1.75,Yes,master
lNOCYGhO,0.55,Yes,master
rcY6S9oO,2.3,Yes,master
fzvUmShi,1.65,Yes,master
ISxZ2FH5,1.4,Yes,master
ixnlV8AS,2.05,Yes,non-master
1C6DBLUa,0.8,Yes,non-master
6ZVU5hiB,1.9,Yes,non-master
7ucyRcab,1.95,Yes,non-master
bijkrN4x,1.55,Yes,non-master
EACALwsH,2.4,Yes,non-master
Es5ER1YT,2.2,Yes,non-master
JRSkVids,1.5,Yes,non-master
kcjVVfCK,1.45,Yes,non-master
TF24R4Vr,1.4,Yes,non-master
xCjrtzRP,1.3,Yes,non-master
49IVMYWn,1.45,Yes,non-master
5228J8Ws,0.7,Yes,non-master
5WKDa2Ef,1.2,Yes,non-master
651zZLZY,1.6,Yes,non-master
a3sNCAlt,2.55,Yes,non-master
B2HV6UdE,1.9,Yes,non-master
BdNwuYY3,1.75,Yes,non-master
eMUmMQGE,2.1,Yes,non-master
g88DapTc,2.25,Yes,non-master
GbheV3mJ,1.2,Yes,non-master
gkKtpet7,1.2,Yes,non-master
HYZzEL2u,0.45,Yes,non-master
IsnM1aVU,1.1,Yes,non-master
jFlNMo3V,1.35,Yes,non-master
jhGpVcnS,1.15,Yes,non-master
nJAP5Ncc,1.65,Yes,non-master
sXf1t2TC,1.85,Yes,non-master
tPX21tz0,1.3,Yes,non-master
UhLgT1NF,0.85,Yes,non-master
VdYpbJUh,2.45,Yes,non-master
WeLeVmdO,1.3,Yes,non-master
Wx6qtrFR,2.05,Yes,non-master
xjaSiYlq,0.95,Yes,non-master
YesT399G,1.05,Yes,non-master
2GTveeV1,1.25,Yes,non-master
5DZhfrMX,1.8,Yes,non-master
75mvuvbf,1.8,Yes,non-master
7VJnbhrH,1.75,Yes,non-master
biD53yQS,1.2,Yes,non-master
CiXTsREp,1.35,Yes,non-master
DONO5fOK,1,Yes,non-master
DxOS1qMI,0.95,Yes,non-master
ENx7yNOR,1.35,Yes,non-master
f4xt2odB,1.2,Yes,non-master
FCqfkdPd,1.45,Yes,non-master
FV3btokM,1.85,Yes,non-master
GkcZEM1X,1.8,Yes,non-master
IhtyQEo6,1.05,Yes,non-master
LxXewOKB,1.25,Yes,non-master
NYIo95xY,2.85,Yes,non-master
oUs9Mfce,1.1,Yes,non-master
qrOdbxJw,0.6,Yes,non-master
RGkwBCD7,1.25,Yes,non-master
TLjfV7aD,1.3,Yes,non-master
uPjkpdoS,1.25,Yes,non-master
xIEzpaRA,1.1,Yes,non-master
2rMOynRc,1.55,Yes,non-master
3a63mASS,1.6,Yes,non-master
aLzBpinz,1.4,Yes,non-master
azCvgawo,1.45,Yes,non-master
hnADzc3k,1.8,Yes,non-master
jjVRkJbo,1.3,Yes,non-master
JSjHZMdQ,2.65,Yes,non-master
LiUSBIbs,1.2,Yes,non-master
LvaztNSx,2.2,Yes,non-master
mxVQAeko,1.95,Yes,non-master
n6Fb15Be,1.35,Yes,non-master
RJ0yK39m,2.1,Yes,non-master
Rxuytkvq,1.4,Yes,non-master
sAmbOGvp,1.6,Yes,non-master
wk2kZpQp,1.3,Yes,non-master
yTxbkwCa,1.75,Yes,non-master
zjbadj2T,2.35,Yes,non-master
bfKHFfR8,1,Yes,non-master
qw7Y3WE6,1.40,Yes,non-master
1CxbYDi0,1.7,Yes,non-master
1H80Gze1,1.15,Yes,non-master
3Av6mKCU,0.9,Yes,non-master
5LdZf9d2,1.2,Yes,non-master
5rThdkyC,1.8,Yes,non-master
6hYtvkUt,0.9,Yes,non-master
AzFffxWV,2.2,Yes,non-master
bMPnLH7L,1.45,Yes,non-master
bYY2jRXC,1.65,Yes,non-master
CTij7KI0,1.40,Yes,non-master
ERf7L7VX,1.35,Yes,non-master
giqrEsxa,1.7,Yes,non-master
hFWAcYms,1.2,Yes,non-master
irBodiNR,1.25,Yes,non-master
ktqGna4r,0.8,Yes,non-master
M2OyHkF5,1.15,Yes,non-master
MauVyE74,1.15,Yes,non-master
nKQGzROw,1.65,Yes,non-master
NoAbJ9SC,1.55,Yes,non-master
QA7eaZ58,1.4,Yes,non-master
s9pJQQwm,0.7,Yes,non-master
sBLPyJei,1.1,Yes,non-master
sfqKoI60,1.55,Yes,non-master
vY1JF5yT,1.6,Yes,non-master
X4DUFLzy,1.5,Yes,non-master
YGmVXctb,1,Yes,non-master
yKdzmCxk,0.55,Yes,non-master
YzzaZbQb,1.1,Yes,non-master
73pjFxSt,2.15,Yes,non-master
a0v0gmBS,1.65,Yes,non-master
aR6ZAxSB,1.75,Yes,non-master
AxjtwqAS,1.15,Yes,non-master
BSl2bHCH,1.4,Yes,non-master
bYcR1XqU,1.05,Yes,non-master
Ckqp0S6g,1.05,Yes,non-master
diRsvrSp,2.1,Yes,non-master
dn0ceftL,1.75,Yes,non-master
FlkpZA5D,1.65,Yes,non-master
FvkXyNfJ,1.7,Yes,non-master
GisMUsS6,0.9,Yes,non-master
jmulOEyq,1.55,Yes,non-master
jqDGyqFA,0.25,Yes,non-master
jWrAFb7o,2.05,Yes,non-master
Ke6AO54Z,0.6,Yes,non-master
L81uYnFP,2.05,Yes,non-master
nP3o6Xld,1.8,Yes,non-master
o0vmJ33w,1.8,Yes,non-master
pfuRg4QJ,1.45,Yes,non-master
rk3wPfU9,0.75,Yes,non-master
RxaxieZl,0.95,Yes,non-master
ulloPKoy,1.55,Yes,non-master
VrORzmC3,2.55,Yes,non-master
XWGQKCYK,1.8,Yes,non-master
Y1nt7yaG,1.65,Yes,non-master
zMH4npNY,1.45,Yes,non-master
ZNgZUovw,1.45,Yes,non-master
13ALfEli,1.40,Yes,non-master
3HTa4C3w,1.55,Yes,non-master
3Vuu6iKT,1.25,Yes,non-master
6AXFCdZ9,1.55,Yes,non-master
8dTEvjO4,1.35,Yes,non-master
990j0a1g,0.9,Yes,non-master
9guVNGGC,1.90,Yes,non-master
ApM8otwl,1.5,Yes,non-master
ayPyXGjo,0.95,Yes,non-master
CWm8UHdR,1.85,Yes,non-master
ERx33R94,1.90,Yes,non-master
Fk9KAr2Z,1.6,Yes,non-master
HJs83Q8g,1.8,Yes,non-master
HMvodXiB,1,Yes,non-master
i1ThzWu9,2.1,Yes,non-master
KJtTnWx0,1.2,Yes,non-master
KWDgbGm4,2.1,Yes,non-master
L7SBxoYt,1.55,Yes,non-master
M2wTjbSE,1.8,Yes,non-master
n0Sc4wcz,1.1,Yes,non-master
n2ToGPvU,1.95,Yes,non-master
pTQ62b0l,2.1,Yes,non-master
qEtWBV4q,1.35,Yes,non-master
rvf4nZOP,0.7,Yes,non-master
tQDYxZ81,2.15,Yes,non-master
tvLQoi4G,1.55,Yes,non-master
UJcVd2TG,2.15,Yes,non-master
UjjJWjHQ,1.40,Yes,non-master
yVncI91m,2.05,Yes,non-master
f2gacKfC,0.3,Yes,non-master
6bPeDxK2,1.25,Yes,non-master
7EoLeJB8,2,Yes,non-master
7oAfixKC,1.1,Yes,non-master
8ObNrSLP,1.85,Yes,non-master
9ELOvUK7,1.5,Yes,non-master
bvD5GSTE,1.65,Yes,non-master
EQKY3iUK,1,Yes,non-master
F9sXiaez,2.1,Yes,non-master
g1VQzaaH,1.8,Yes,non-master
I4DYQ30E,2.35,Yes,non-master
J68xlxT0,1.25,Yes,non-master
JMDomgiz,1.35,Yes,non-master
MDgpushP,1.5,Yes,non-master
N1Sd7DgS,1.55,Yes,non-master
UQAmhepQ,1.85,Yes,non-master
WpvHJU0u,1.35,Yes,non-master
xDD5eppb,1.40,Yes,non-master
