usertoken,treatment,mid1,mid2
sAmbOGvp,interval,"I was looking for whichever fund offered the highest return, but if it also had a number of bars of loss or poor return I would also select the fund that was more consistent even if it offered lower maximum values. I would adjust my percentage allocations based on the number of negative returns and the average positive return amount for both.","I checked what the maximum and minimum values of the 95% interval were and then compared the the maximum and minimum values of the 66% interval were. If one chart had a 66% interval with values similar to the 95% of the other I would invest in it substantially more than the other fund even if it had significantly greater chance for return. If, on the other hand, it's 66% was decently lower in value than the 95% or 66% of the other I would invest in each fund to a similar degree, investing slightly more in the one with the chance for higher return. "
jjVRkJbo,hopsdist,I looked for trends and healthy risks.,I wanted to make the most money so I allocated according to how risky the investment in the highest-paying option was
JSjHZMdQ,barchart,"I tried to compare the number of positive and negative returns for each time period and the maximum return between the two funds. If there was a pattern of positive growth, I would invest more in that fund. If there was more negative or flat growth, I put less into the fund.","As before, I looked at the periods of positive growth vs negative growth between the two funds. Then I looked at the highest positive and negative growth for the funds. I tried to choose the fund with the most positive growth periods and highest overall positive growth."
zjbadj2T,interval,I looked for which charts showed the biggest returns with the least risks of negative returns.,I tried to look at the charts where there was a higher probability of getting the highest return
n6Fb15Be,interval,I put more money into the investment in which I could make the most money.,I put higher percentages in the investments that had higher possible profitability.
LiUSBIbs,hopsdist,I used the charts primarily to look at the percentage yield for the year; and decide from there how much allocation I would put for each fund.,I tried to make sense of the moving yellow bar on the horizontal graph. I honestly was confused by this visualization and made my best guess.
bfKHFfR8,hopsdist,I used them to get an idea of the return-spread over the stipulated period in each case. The highest/lowest return for a fund(from the chart) did influence my decision. ,"I paid attention to the region of the possible return (positive/negative), the orange line tended to flash more in each case. "
qw7Y3WE6,hopsdist,"I was based on the stipulated return and the growing of what was proposed. The more risks, the less I bet.",the rate of return is safer is the best option
X4DUFLzy,barchart,"I looked at the amount of years that were positive and the maximum returns per year for each side.  If one side had more positive returns and a higher potential gain, I went with that option more than the other.",I looked at the amount of years of positive returns and how high a % the returns were to see which option I thought had higher ROI.
ERf7L7VX,hopsdist,"i tried to pick the one with the highest returns but, without a potential loss",i tried to pick the one that the lines did not go into the negative return side
5rThdkyC,interval,i picked what i thought would be the best chance for me to get the most amount without putting all my eggs into one basked just in case i was wrong. i averaged out the two charts and which ever looked best i put the most money into,i averaged out the 2 charts and whatever had the best chance to make me the most money within the green area i would invest most of my money into it
sfqKoI60,table,"I saw whether there are negative bars. If yes, how many and and how long. I tried to imagine the average of an all positive chart and compare that average with other chart.",I checked the highest and lowest return value of each chart and compared them to make decision. Middle ones I ignored.
irBodiNR,density,I USE MY FINANCIAL-MAKING FOR RETIREMENT STUDY.,"I will decide how to allocate your investment between two funds as a percentage from 0% to 100%.

MY goal is to maximize your expected return for thirty (30) years when you plan to retire.
"
vY1JF5yT,barchart,"I looked at the range of outcomes and tried to see what would give the best 30 year return on average, estimating based on the periods shown.  It's really hard to estimate so I did the best I could with the information available.  I tried to avoid negative returns since those can be hard to recover from (i.e. it takes a 200% gain to cancel out a 50% loss and so on).  I also looked at the best possible outcome on the right side of the graph, especially if all the outcomes were in positive territory.",I looked at the range of outcomes and tried to maximize returns over 30 years.  I tried to avoid significant negative returns when possible.  I looked at the right-most (best) outcome as well and took it into account.  Overall I tried to estimate the range of outcomes and make the best estimate possible with the limited information available.
QA7eaZ58,interval,I make decision based on higher returns value ,Use color visual property i choose high return
5LdZf9d2,density,I looked at both charts and looked at the chance that each chart would provide a negative return and compared that to the chance of a positive return.  I also looked at how big the possible returns were on each chart.  I noticed it was often the case that one chart would have a relatively low but safe return while the other chart would have higher returns but also a chance for negative return.  If the chance for a negative return was low then I would put most of my money in the one that had a chance at highest returns. ,I just compared the lines to see which fund had the higher chance to provide higher returns when compared to the chance that the fund would provide a negative return. 
bYY2jRXC,table,"The best result is obviously the return at the end of the lifetime. As the amount is compounded, it is important to get the returns based on the higher return rate. The later stages have a higher increase and I focused on those funds that have a higher growth at the end.",I estimated the amount of growth on average by comparing the values at a glance. I didn't do any math but made it more as a ball park.
6hYtvkUt,interval,i make based on the chat report if the chat is increase i am increase the value the decrease the percentage,i am keep mind the year then allocate the fund c and based percentage of fund d
hFWAcYms,hops,Got the notes from charts,None
AzFffxWV,table,Whichever chart was higher I put more into. But whichever also had a low side I invested less just in case.,"I don't totally understand what I was looking at, so most of my answers were guesses."
CTij7KI0,density,It's very easy.,It's very easy.
3Av6mKCU,table,the nice task ,the nice task fund organasastion
giqrEsxa,interval,Its pointed the arow,Its very easy
NoAbJ9SC,density,I used the chart to calculate the average possible outcome of each plan. Each node of the graph gives an idea to predict the average outcome of each of the investment plan. The graph gives you an idea about how risky a plan is by Hovering through the nodes of the graph.,The Lines helped to calculate the average outcome in years. The Ups and downs of the line give an idea about the outcome of the plan.
YGmVXctb,hops,"If you have data you want to visualize, make sure you use the right charts. While your data might work with multiple chart types, it’s up to you to select the one that ensures your message is clear and accurate. Remember, data is only valuable if you know how to visualize it and give context","Charts are used in situations where a simple table won't adequately demonstrate important relationships or patterns between data points. When making your chart, think about the specific information that you want your data to support, or the outcome that you want to achieve"
YzzaZbQb,table,"The chart acted as a tool to provide or help us take the investment decision. The positive and negative rate of return both were taken into account and calculated. Based on the calculation, a hypothetical figures were ascertained and then the computation took place. Based on that computation, the percentage was determined.",The chart acted as a tool or medium to ascertain the percentage that needs to be computed. The initial negative return and then the positive return helped us determine which investment option is good and would be allocated with higher percentage.
1CxbYDi0,hopsdist,Value of the chart.Which chart have high value,Depends upon the value of yellow line
VrORzmC3,density,"analize the chart and put my money on the the most secure highest return, in case of low risk i splitted the money in 80 20","same as before, i tried to put money on the most secure graphic, for example, i put money where the return is highest, but based on the percentage of risk i put a little part where is more secure"
Ke6AO54Z,table,"First, I visualized the plans with the highest risk of loss by looking at the negative part of the graph, and tried to avoid them as much as possible. Then I tried to identify the biggest bar to the positive area to decide the biggest profit opportunity. Then I tried to identify the frequency of occurrences. Then cross this information to try to find the best risk x profit. I also used a little of my personal preference in never putting all the money in just 1 investment, always trying to diversify.","The same strategy as the previous item, try to avoid plans with a greater possibility of loss, ie too much negative numbers. Tried to find a higher frequency or quantity of positive values. And look for the highest rate of return, ie the highest positive value. Cross this information and try to find the best risk x profit. Still tried to diversify de investments."
pfuRg4QJ,barchart,"I used the chats to see the expected returns for the funds, and also tried to more so allocate my money into the less risky fund.","I used the charts to gather info on their interest returned, also tried to sift through which of the funds had the highest average return for that period."
aR6ZAxSB,barchart,"I looked to see the % of gain versus % of loss, then decided how to split the money depending on those percentages.","I used them the same way as round 1. Decided which fund had better % overall, how many years, then split my % depending on those numbers."
FvkXyNfJ,point,"I noted the charts with losses, and evaluated the potential loss versus potential gains. I would also put a smaller percentage of the investment in the smaller gaining fund that would have no potential loss, or smaller potential losses. I looked at the time periods of the funds, as one year is not a good time frame to judge by. ","I looked at the potential gains and losses much like last time. I did note the average returns on these charts, and again, the period of time that they covered. "
XWGQKCYK,table,to see the consistency on the funds,"the graph was better, the table i tried to see the consistency "
o0vmJ33w,table,"I looked at the minimum and maximum and the likelihood of a negative return, which I tried to avoid as much as possible. Mostly just compared what the mean return of the 2 funds looked like.",bit tougher to visualize than the charts. Paid a bit more attention to each individual number though and tried to see which fund had the higher rate of return in most positions compared to the other fund.
dn0ceftL,interval,I used the charts to see which fund had the higher rate of return. I also saw which one had higher chances of loss.,I used them to see what the likely return would be to see where and how I should invest
FlkpZA5D,interval,In the safest investment funds I put a higher percentage.,I looked at investment funds with greater security of profit and put a percentage of them in them.
BSl2bHCH,barchart,I averaged the returns to find out the best possible fund.,I compared to see which gave the best returns.
diRsvrSp,point,"Selected the one that looked like it had a higher expected return, the one with more higher bars and not many bar with losses and not great impact losses. ",I went for the higher EV.
jWrAFb7o,density,i tended to select the one with the highest return although i also slightly tried to diversify my investment,i observed which one had the highest value along the right section (higher return) but also diversified a little to reduce the risk
73pjFxSt,point,I looked at the returns and tried to figure out which gave the best returns.  Higher returns had higher bars and/or more positive bars.,I looked at the average return dot.  I put all money into the fund with the higher return.
nP3o6Xld,point,I looked to see which had the best return. I also looked at negative returns. I tended to stay with the option that had little or no negative returns.,I wanted to lessen the chance that I would lose money so I tried to put some into both the safe and riskier options. The biggest factor was how far the max and min went.
ulloPKoy,density,"I based it on risk. If a fund had a high likelihood of a negative return, I allocated less money to that fund. ","I used the same process as before. If there was a higher area under the line that would produce a negative return, I allocated less money to that fund."
jmulOEyq,density,I looked out for which investment on the chart will give the highest return and allocated a larger percentage of my money to it,I looked out for which chart of investment that will give the highest return over a longer period of time depicted by the greater peak points on each chart
L81uYnFP,point,"I use the charts to determine what were my averages, lows, and highs.  I then compared these to the length of time I was investing to determine how long I had to weather potential downturns to make up my investment.",I used the charts to determine where I would expect to be on average and what my potential downsides/upsides were.  I then used these representations to determine whether it made sense to be more risky depending on the length of time for my investments to grow.
Ckqp0S6g,point,I choose the average results of the chart values as my prediction higher value. That is my strategy.,I choose the average rate of return value and predict the between the last two best values. The chart gives me some best values to guess.
Y1nt7yaG,table,"One chart usually had lower lows and higher highs.  I tried to see where on that chart the values of gains started to approach the average and better-than-average gains on the other chart.  In other words, what percentage of the more volatile chart would do as well or better than the bulk of the less volatile chart?  If it seemed like a relatively safe bet that I'd get better returns from the more volatile chart, I went with that one, particularly if there weren't many real low bars (i.e. losses), and also if the time period was shorter.  I figured that being more aggressive over a longer time period made more sense, so I'd lean more heavily towards the higher-volatility chart for shorter time periods displayed by the chart.","I looked for what percentage of the more volatile chart was better than the less volatile chart.  usually there was quite a good chunk of the more volatile chart that was better than the vast majority of the less volatile chart.  That made it seem like it was a very good bet to go with the more volatile chart.  Yes, there was the possibility of poorer performance, but it was low.  And if the time period displayed was small, it was very likely that the higher volatility would work out over 30 years and so I should be even more aggressive and allocate more to the higher volatility set of data."
rk3wPfU9,hops,"I was looking for steady, slower growth over time for the longer-haul investments.  For the shorter investments (1 and 5 years or so) I took more of a risk and went more for the possibility of a quick gain.",I watched to see where the funds jumped to and chose to invest more in the funds with the higher amount of positive gains.
zMH4npNY,interval,I hovered over the bars to see the best and worst potential scenarios.,Not so sure with this one. I think I chose the one with the best chances from the broadness of scope.
RxaxieZl,table,divide the earnings of fund A,half the value
ZNgZUovw,table,"I focused on the potential for losses first, then gains",I tried for a balance between loss and gains
AxjtwqAS,hopsdist,I just see the possible return values and gave my opinion. Sometimes it is difficult to make decision. But i did as much as i can.,Just saw the charts return percentage and gave my opinion.
a0v0gmBS,dotplot,the one withe more higher returns and less negative returns,i went with the higher expected returns possible
n0Sc4wcz,dotplot,"I looked at the bar chart and the larger the bar, the more money I felt I was making on the investment.",I tried to look at the bubbles that were under the numbers with the highest percentage
L7SBxoYt,hops,I loked to see if stock was rising and by how much,I tired to atch and see what the max rate was did not prefer this method to first
13ALfEli,point,I compare the highest percent in both graph then divide the percentage between them ,"For each group I compare the value of both the negative and positive, the I give the highest rating for positive side graph. "
KJtTnWx0,dotplot,"I looked at the worst rates of return, especially if they were negative, to weight how much/how little I wanted to allocate to each fund. However, I thought it was also important to look at the highest values and use those to make the decision as well.","Kind of the same as before. But also since this isn't real money I felt more comfortable taking risks with the funds that had more of a negative return. YOLO and all that. If there was a cluster of dots that were spread out over a big range, I felt that was more of a risk than one where all the dots were clustered together."
Fk9KAr2Z,hopsdist,I looked for which chart had the higher potential gains as well as the less risky lows (such as not having a negative rate of return at all or at least only a small chance at a small loss over the 30 year time period).,"I determined which charts had the most high potential returns combined with not too many low or even negative returns, while also trying to minimize risk a bit by investing in both funds and putting some in the safer return fund."
HMvodXiB,interval,"I compared both sides and based on the rate of growth, I invested in the fund which had a better return percentage.","Based on the rate of return and the comparison with the number of years, I chose the better option. If the graph was closer to the 30 year period, I invested more in the fund with the better rate of return."
rvf4nZOP,hops,"I looked for the ""average"" return on the more conservative chart. Then i looked for where that return fell on the more aggressive chart. The % of agressive chart to left of that return told me how to allocate.",It was difficult to see the distribution. So I allocated everything to the one that changed the least.
9guVNGGC,dotplot,I mainly looked at the area under the curve that had a positive or negative return and allocated higher percentages to funds with the greater potential.,I looked at the distribution of the dots and tried to allocated more funds to the fund that had the higher probable returns
tvLQoi4G,barchart,I look at the chart and consider the risk from both investments and weigh what would maximize my earning.,I looked at the chart and see what would maximize my investment.
tQDYxZ81,hops,"I looked at the returns on the charts and thought about the probable average returns over the next 30 years, which is a long period of time.","I compared the two charts to each other, to try and determine which would have the most possible high returns and least possible low returns."
ayPyXGjo,barchart,"I tried to calculate the compound interest, not just focusing in the single year of the return. I preferred to have a little gain but costant every year, and not a big loss followed by a big gain. ","As before I tried to invest without loss, because of the compound interest. In my opinion, better have a costant low gain, compare to a big gain and also big losses"
yVncI91m,barchart,"I compared the numbers on both charts by hovering the mouse, and allocated what I thought would earn me the most.",I used the same tactic. I compared numbers by hovering the mouse to be precise and allocated in what I thought was best.
3Vuu6iKT,dotplot,I wanted to maximize the amount of money I could earn. I wanted to minimize the amount I might potentially lose in the long run. I used the visuals to guage how much more I would earn in one investment vs. the other.,I compared the amount of money I might potentially earn from each investment to each other and then decided how to allocate my funds. It was harder to look at the dots than it was to look at the bar graphs from earlier.
UjjJWjHQ,barchart,"I looked for the lowest and the highest rates of return for each graph. Some were worth putting 100% because the odds were very good that, at minimum, I wouldn't lose money. I also considered, somewhat, the consistency of the returns and took that into account. ",I first looked at the consistency and then the highest and lowest rates of return for each. I am open to some risk but not high risk so if there was high risk of loss then I would scale back on that fund a little more than low risk of loss or low risk of smaller loss. 
ERx33R94,point,I was looking for at least 50% of the returns to be higher in one where I gave it higher weighting. The higher returns were worth the extra risk in some cases. ,"I found these not as useful. I looked for ones that had the least spread into the negative regions. However, these plots do not tell you anything about the relative probability of falling within this range, unlike the first one. Thus, my aim here was to preserve the investment."
n2ToGPvU,dotplot,"I looked for the general trends of return rates across the 30-year period. Additionally, I looked at the range of values displayed as even if all rates across the 30 years produced positive returns, it may be at the expense of a small return rate. ","I again looked at the distributions of the data points although this time it was more difficult to tell. In addition to the distribution of the data, I again looked at the general range of return rates. "
pTQ62b0l,dotplot,I mainly chose the fund that had the highest returns. I figured this out by looking at the graphs. ,I chose the chart with the highest returns. I looked where the dots were. 
M2wTjbSE,point,"I looked at the charts to see which funds had greater variances and greater chances to earn more over the long term.  Because I was investing for 30 years, I chose the more volatile options, since I assumed they would be able to have larger gains because of the long time period.","Using this visual, I was able to easily see which fund had a better average return over time, because it was illustrated nicely in this type of graph.  In this case, I always chose the fund with the higher average return."
HJs83Q8g,interval,I tried to balance risk a small amount but mostly looked at the average rate of return.,I went with the middle of the dark green and tried to put most of my investments in whichever was higher. 
8dTEvjO4,hopsdist,I tried to look for where I could get the most gain with the right amount of risk and being able to see visually the chance to take a loss vs gain really helped me tell which one was better,I just looked for where i could potentially get the highest gains but then checked how many lines were in the negative to see if it was worth the risk
KWDgbGm4,interval,"I looked at what the highest possible rate of return was, the lowest rate of return, and what the 'average' return would be between all 33 results. I also tried to narrow down by which fund had the fewest number of possible negative returns.",I looked more closely at the dark green bar and it's 66% chance of occurring between both funds. I tried to hedge my investments between both funds when there was the possibility for a large negative return.
UJcVd2TG,hops,I wanted the highest returns no matter the risk. I saw the charts and decided to go with the highest returns.,I wanted the highest returns. I went with the biggest risk.
ApM8otwl,hopsdist,"I looked at the lowest %age and then compared the growth over time. The chart with the best average growth over the time period was the one I allocated the larger portion of my investment in. I did always keep my money divided between the two funds, never giving one my entire investment. Never put all your eggs in one basket is a proven theory.","First, the orange line got me dizzy. I did not like this visualization at all. However, I chose the fund with the least fluctuation unless the more activity was situated in the higher range of growth. "
6AXFCdZ9,interval,"i looked at the best possible outcome between each chat and the worst and then invest more on the one that has higher tendency of higher return, but then invest a substantial amount that would cover losses if option a go sideway",i focus on the dark grey of each chart and determine which one is more safer and would yield better return
CWm8UHdR,point,"I looked at the top grotwh rate, the middle range, and then the total percent chance above 0. Overall I tried to find the highest expected value of each. ","For the most part I just used the average / midpoint, but I did also consider the lowest end of the range on trials that had a broad range. "
qEtWBV4q,dotplot,I looked at the relative stability of each (whether one had a high risk of loss) and at the highest possible return and tried to diversify in such a way to create near-guaranteed return but also the possibility of higher return.,"Same concept, it's just a matter of reading the new type of chart, with negatives and positives and the height of the bars as stacks of dots now."
990j0a1g,dotplot,"i dont understand charts, so i go to the last sections to see the higher bars and decide",looked to the higher bars on each section so i could at least try to know the best return rate
i1ThzWu9,barchart,"i looked at the final results of the charts (the percentage) so i could choose which one seemed the best. I dont understand much of charts, so i tried my best by visualization only",i looked for the best and highest bar rates on both charts so i could try to find the best return rate
3HTa4C3w,dotplot,"i tried to see the last positions, the higher bars, to make a decisison since they seemed to be the ones with higher return rates.",i visualized the higher bars to see the higher return rates
f2gacKfC,point,"LOOKED AT THE LAST RESULTS, WHERE IS WAS SAID TO HAVE THE HIGHER RETURN RATE",I LOOKED INTO THE INSTRUCTION AND FOUND OUT THE PLACE WHERE THE BEST RETURN RATE WAS AND CHOOSE THERE.
MDgpushP,hops,"I looked to see which had more positive and higher bars. I then looked how many bars were negative. If all were positive I went with the investment with higher bars. If one had more negative bars but had higher positive bars, then I would allocate must but take away some percentage based on how many negative bars.",I looked to see how often the bars stayed left or right relative to each other. I then looked at how drastic the change in the bars position was. If one bar was ahead of the other bar I would choose more of that investment. If they bounced around a lot I would try to average their positions.
g1VQzaaH,point,I used the charts to compare returns for each time frame for the funds. I looked at the midpoint to estimate what funds would have the highest compounding interest at that point.,I used the midpoint to see the average rate of return. I looked at the range and the evaluation period to see how big of a sample size I could find.
I4DYQ30E,barchart,"I looked at the overall returns, the longevity of returns and the amount of losses incurred.",I looked at the amount of returns and how they compared to each other. I looked at the amount of negative returns. 
7oAfixKC,density,What the highest and lowest values were. I tried to guess what the predicted value would be over 30 years for each chart based on the possible yearly returns. I generally was swayed by charts that had the highest possible returns.,I tried to visually predict what would be the mean return over 30 years based on the distribution. 
xDD5eppb,point,I looked at which seemed to grow the best relative to the duration and between any lows and highs per.,"I found these charts a little more challenging to get use to, but I used them in a similar way, to determine the acceleration of the rate of return and any fluctuation or how stable they were for the entire timeframe listed (ie X years)"
8ObNrSLP,hops,I tried to choose the one that showed the greatest amount of return for the lesser risk. ,"I used my same method as before, but tried to pay close attention to the orange lines and see what their ranges were."
EQKY3iUK,hopsdist,"I always tried to look at the best return rate at the end, just after seeing if there was a big loss rate at the beginning and making an estimate of the values I would win.",I looked at where the orange line went at both ends and checked which was the most advantageous and which could give me the most damage.
F9sXiaez,barchart,I looked at the risk and amount of possible losses to make my decision ,tried to reduce my potential of loss and increase my chance of gains
WpvHJU0u,barchart,I looked for lower ratesof losses and higher rates of gains.,I looked for lower losses and higher gains and less variation.
7EoLeJB8,barchart,"Whichever looked like it would give better returns long term, I put all of most there. High returns being bars that reached closer to the top of the graph, of course.","Again, I looked for higher bars..even if there were initial losses, as long as I didn't get nervous and withdraw money, the higher overall returns would compensate for those."
N1Sd7DgS,barchart,I put the mouse over the percentages to observe the obtained results to generate an opinion of which would be better,I used the reasoning in the same way as before
bvD5GSTE,hopsdist,I tried to look how much I would be receiving after the time... and just put all my money in the chart that looks like I would win more money.,I saw if the orange bars were concentrated in which numbers and which year was asked and looked which one paid more.
9ELOvUK7,barchart,"First I looked to see which one would be more profitable on average and tried to judge how much more profitable. I next considered consistency, how likely it would be that I achieve a favorable rate of return and even a positive rate of return. Based on these factors, I tried to balance reward vs risk and allocate accordingly. I tended to invest more with the aggressive fund in order to maximize profits, but still invested some with the other fund to hedge my gamble.","I first assessed the average profitability of the funds. I next considered the consistency, how likely a favorable outcome was going to occur versus a low rate of return or negative rate of return. Based on these two factors, I tried to weigh the rewards vs the risks and come up with an aggressive percentage while still having some protection by investing in the other fund as a hedge."
J68xlxT0,density,look for current and past trends when making decsions,"look at past, present, peaks, trends and decided on decision."
6bPeDxK2,point,I tried to average the percentage of increase and then figure which ones to be more aggressive and which to be more conservative with.,I tried to weigh how much loss one fund would generate and put more money in the opposite option.
